-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,16,16,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,16,16,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,16,16,7,7,7,7,-1,-1,-1,-1,-1
-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,16,16,7,7,7,7,-1,-1,-1,-1,-1
3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,16,16,6,6,6,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,16,16,16,16,16,16,16,16,16,16,16,16,16,6,6,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,16,16,16,16,16,2,16,16,16,16,11,11,16,6,6,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,16,16,16,16,16,11,11,11,11,16,16,16,16,6,6,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,11,11,16,16,16,16,16,16,16,16,16,16,16,16,-1,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-1,-1,-1,-1,-1,-1,-1
-1,5,5,5,6,11,11,6,6,6,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,2,-1,-1
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,11,11,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,11,11,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,16,16,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,6,11,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,-1
-1,5,5,5,6,16,16,16,16,16,16,16,16,16,16,6,6,16,16,16,16,16,6,5,5,-1
-1,5,5,5,6,16,16,16,16,16,16,16,16,16,16,6,6,16,16,16,16,16,6,5,5,-1
-1,5,5,5,6,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,6,5,5,-1
-1,5,5,5,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,6,5,5,-1
-1,5,5,5,6,16,16,16,2,16,16,16,16,2,16,6,6,16,11,6,11,16,6,5,5,-1
-1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,-1
-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1
